"Wed, Jan 1, 2014","4","6","7","11","12","40"
"Sat, Dec 28, 2013","13","20","23","34","38","46"
"Wed, Dec 25, 2013","4","18","23","32","34","47"
"Sat, Dec 21, 2013","1","2","10","19","22","44"
"Wed, Dec 18, 2013","2","4","16","20","25","46"
"Sat, Dec 14, 2013","13","18","19","20","35","40"
"Wed, Dec 11, 2013","4","15","28","31","37","44"
"Sat, Dec 7, 2013","2","8","11","15","24","27"
"Wed, Dec 4, 2013","10","12","16","23","41","42"
"Sat, Nov 30, 2013","2","18","22","25","37","39"
"Wed, Nov 27, 2013","8","9","15","23","40","48"
"Sat, Nov 23, 2013","3","5","13","16","44","48"
"Wed, Nov 20, 2013","20","26","35","37","46","48"
"Sat, Nov 16, 2013","9","12","17","20","21","37"
"Wed, Nov 13, 2013","3","8","15","17","29","33"
